Registro,Variable,Mean,Found Value,Deviation
9523,VT_812Y,10.22299347385575,150.0,37.61027588534155
9523,VT_814X,17.297019177668332,150.0,22.580604636286665
9523,VT_814Y,14.5325314857436,150.0,27.40294536401115
9524,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9524,VT_812X,10.797900807110196,150.0,38.27568816246563
9524,VT_812Y,10.22299347385575,150.0,37.61027588534155
9524,VT_814X,17.297019177668332,150.0,22.580604636286665
9524,VT_814Y,14.5325314857436,150.0,27.40294536401115
9525,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9525,VT_812X,10.797900807110196,150.0,38.27568816246563
9525,VT_812Y,10.22299347385575,150.0,37.61027588534155
9525,VT_814X,17.297019177668332,150.0,22.580604636286665
9525,VT_814Y,14.5325314857436,150.0,27.40294536401115
9526,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9526,VT_812X,10.797900807110196,150.0,38.27568816246563
9526,VT_812Y,10.22299347385575,150.0,37.61027588534155
9526,VT_814X,17.297019177668332,150.0,22.580604636286665
9526,VT_814Y,14.5325314857436,150.0,27.40294536401115
9527,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9527,VT_812X,10.797900807110196,150.0,38.27568816246563
9527,VT_812Y,10.22299347385575,150.0,37.61027588534155
9527,VT_814X,17.297019177668332,150.0,22.580604636286665
9527,VT_814Y,14.5325314857436,150.0,27.40294536401115
9528,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9528,VT_812X,10.797900807110196,150.0,38.27568816246563
9528,VT_812Y,10.22299347385575,150.0,37.61027588534155
9528,VT_814X,17.297019177668332,150.0,22.580604636286665
9528,VT_814Y,14.5325314857436,150.0,27.40294536401115
9529,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9529,VT_812X,10.797900807110196,150.0,38.27568816246563
9529,VT_812Y,10.22299347385575,150.0,37.61027588534155
9529,VT_814X,17.297019177668332,150.0,22.580604636286665
9529,VT_814Y,14.5325314857436,150.0,27.40294536401115
9530,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9530,VT_812X,10.797900807110196,150.0,38.27568816246563
9530,VT_812Y,10.22299347385575,150.0,37.61027588534155
9530,VT_814X,17.297019177668332,150.0,22.580604636286665
9530,VT_814Y,14.5325314857436,150.0,27.40294536401115
9531,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9531,VT_812X,10.797900807110196,150.0,38.27568816246563
9531,VT_812Y,10.22299347385575,150.0,37.61027588534155
9531,VT_814X,17.297019177668332,150.0,22.580604636286665
9531,VT_814Y,14.5325314857436,150.0,27.40294536401115
9532,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9532,VT_812X,10.797900807110196,150.0,38.27568816246563
9532,VT_812Y,10.22299347385575,150.0,37.61027588534155
9532,VT_814X,17.297019177668332,150.0,22.580604636286665
9532,VT_814Y,14.5325314857436,150.0,27.40294536401115
9533,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9533,VT_812X,10.797900807110196,150.0,38.27568816246563
9533,VT_812Y,10.22299347385575,150.0,37.61027588534155
9533,VT_814X,17.297019177668332,150.0,22.580604636286665
9533,VT_814Y,14.5325314857436,150.0,27.40294536401115
9534,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9534,VT_812X,10.797900807110196,150.0,38.27568816246563
9534,VT_812Y,10.22299347385575,150.0,37.61027588534155
9534,VT_814X,17.297019177668332,150.0,22.580604636286665
9534,VT_814Y,14.5325314857436,150.0,27.40294536401115
9535,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9535,VT_812X,10.797900807110196,150.0,38.27568816246563
9535,VT_812Y,10.22299347385575,150.0,37.61027588534155
9535,VT_814X,17.297019177668332,150.0,22.580604636286665
9535,VT_814Y,14.5325314857436,150.0,27.40294536401115
9536,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9536,VT_812X,10.797900807110196,150.0,38.27568816246563
9536,VT_812Y,10.22299347385575,150.0,37.61027588534155
9536,VT_814X,17.297019177668332,150.0,22.580604636286665
9536,VT_814Y,14.5325314857436,150.0,27.40294536401115
9537,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9537,VT_812X,10.797900807110196,150.0,38.27568816246563
9537,VT_812Y,10.22299347385575,150.0,37.61027588534155
9537,VT_814X,17.297019177668332,150.0,22.580604636286665
9537,VT_814Y,14.5325314857436,150.0,27.40294536401115
9538,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9538,VT_812X,10.797900807110196,150.0,38.27568816246563
9538,VT_812Y,10.22299347385575,150.0,37.61027588534155
9538,VT_814X,17.297019177668332,150.0,22.580604636286665
9538,VT_814Y,14.5325314857436,150.0,27.40294536401115
9539,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9539,VT_812X,10.797900807110196,150.0,38.27568816246563
9539,VT_812Y,10.22299347385575,150.0,37.61027588534155
9539,VT_814X,17.297019177668332,150.0,22.580604636286665
9539,VT_814Y,14.5325314857436,150.0,27.40294536401115
9540,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9540,VT_812X,10.797900807110196,150.0,38.27568816246563
9540,VT_812Y,10.22299347385575,150.0,37.61027588534155
9540,VT_814X,17.297019177668332,150.0,22.580604636286665
9540,VT_814Y,14.5325314857436,150.0,27.40294536401115
9541,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9541,VT_812X,10.797900807110196,150.0,38.27568816246563
9541,VT_812Y,10.22299347385575,150.0,37.61027588534155
9541,VT_814X,17.297019177668332,150.0,22.580604636286665
9541,VT_814Y,14.5325314857436,150.0,27.40294536401115
9542,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9542,VT_812X,10.797900807110196,150.0,38.27568816246563
9542,VT_812Y,10.22299347385575,150.0,37.61027588534155
9542,VT_814X,17.297019177668332,150.0,22.580604636286665
9542,VT_814Y,14.5325314857436,150.0,27.40294536401115
9543,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9543,VT_812X,10.797900807110196,150.0,38.27568816246563
9543,VT_812Y,10.22299347385575,150.0,37.61027588534155
9543,VT_814X,17.297019177668332,150.0,22.580604636286665
9543,VT_814Y,14.5325314857436,150.0,27.40294536401115
9544,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9544,VT_812X,10.797900807110196,150.0,38.27568816246563
9544,VT_812Y,10.22299347385575,150.0,37.61027588534155
9544,VT_814X,17.297019177668332,150.0,22.580604636286665
9544,VT_814Y,14.5325314857436,150.0,27.40294536401115
9545,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9545,VT_812X,10.797900807110196,150.0,38.27568816246563
9545,VT_812Y,10.22299347385575,150.0,37.61027588534155
9545,VT_814X,17.297019177668332,150.0,22.580604636286665
9545,VT_814Y,14.5325314857436,150.0,27.40294536401115
9546,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9546,VT_812X,10.797900807110196,150.0,38.27568816246563
9546,VT_812Y,10.22299347385575,150.0,37.61027588534155
9546,VT_814X,17.297019177668332,150.0,22.580604636286665
9546,VT_814Y,14.5325314857436,150.0,27.40294536401115
9547,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9547,VT_812X,10.797900807110196,150.0,38.27568816246563
9547,VT_812Y,10.22299347385575,150.0,37.61027588534155
9547,VT_814X,17.297019177668332,150.0,22.580604636286665
9547,VT_814Y,14.5325314857436,150.0,27.40294536401115
9548,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9548,VT_812X,10.797900807110196,150.0,38.27568816246563
9548,VT_812Y,10.22299347385575,150.0,37.61027588534155
9548,VT_814X,17.297019177668332,150.0,22.580604636286665
9548,VT_814Y,14.5325314857436,150.0,27.40294536401115
9549,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9549,VT_812X,10.797900807110196,150.0,38.27568816246563
9549,VT_812Y,10.22299347385575,150.0,37.61027588534155
9549,VT_814X,17.297019177668332,150.0,22.580604636286665
9549,VT_814Y,14.5325314857436,150.0,27.40294536401115
9550,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9550,VT_812X,10.797900807110196,150.0,38.27568816246563
9550,VT_812Y,10.22299347385575,150.0,37.61027588534155
9550,VT_814X,17.297019177668332,150.0,22.580604636286665
9550,VT_814Y,14.5325314857436,150.0,27.40294536401115
9551,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9551,VT_812X,10.797900807110196,150.0,38.27568816246563
9551,VT_812Y,10.22299347385575,150.0,37.61027588534155
9551,VT_814X,17.297019177668332,150.0,22.580604636286665
9551,VT_814Y,14.5325314857436,150.0,27.40294536401115
9552,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9552,VT_812X,10.797900807110196,150.0,38.27568816246563
9552,VT_812Y,10.22299347385575,150.0,37.61027588534155
9552,VT_814X,17.297019177668332,150.0,22.580604636286665
9552,VT_814Y,14.5325314857436,150.0,27.40294536401115
9553,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9553,VT_812X,10.797900807110196,150.0,38.27568816246563
9553,VT_812Y,10.22299347385575,150.0,37.61027588534155
9553,VT_814X,17.297019177668332,150.0,22.580604636286665
9553,VT_814Y,14.5325314857436,150.0,27.40294536401115
9554,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9554,VT_812X,10.797900807110196,150.0,38.27568816246563
9554,VT_812Y,10.22299347385575,150.0,37.61027588534155
9554,VT_814X,17.297019177668332,150.0,22.580604636286665
9554,VT_814Y,14.5325314857436,150.0,27.40294536401115
9555,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9555,VT_812X,10.797900807110196,150.0,38.27568816246563
9555,VT_812Y,10.22299347385575,150.0,37.61027588534155
9555,VT_814X,17.297019177668332,150.0,22.580604636286665
9555,VT_814Y,14.5325314857436,150.0,27.40294536401115
9556,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9556,VT_812X,10.797900807110196,150.0,38.27568816246563
9556,VT_812Y,10.22299347385575,150.0,37.61027588534155
9556,VT_814X,17.297019177668332,150.0,22.580604636286665
9556,VT_814Y,14.5325314857436,150.0,27.40294536401115
9557,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9557,VT_812X,10.797900807110196,150.0,38.27568816246563
9557,VT_812Y,10.22299347385575,150.0,37.61027588534155
9557,VT_814X,17.297019177668332,150.0,22.580604636286665
9557,VT_814Y,14.5325314857436,150.0,27.40294536401115
9558,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9558,VT_812X,10.797900807110196,150.0,38.27568816246563
9558,VT_812Y,10.22299347385575,150.0,37.61027588534155
9558,VT_814X,17.297019177668332,150.0,22.580604636286665
9558,VT_814Y,14.5325314857436,150.0,27.40294536401115
9559,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9559,VT_812X,10.797900807110196,150.0,38.27568816246563
9559,VT_812Y,10.22299347385575,150.0,37.61027588534155
9559,VT_814X,17.297019177668332,150.0,22.580604636286665
9559,VT_814Y,14.5325314857436,150.0,27.40294536401115
9560,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9560,VT_812X,10.797900807110196,150.0,38.27568816246563
9560,VT_812Y,10.22299347385575,150.0,37.61027588534155
9560,VT_814X,17.297019177668332,150.0,22.580604636286665
9560,VT_814Y,14.5325314857436,150.0,27.40294536401115
9561,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9561,VT_812X,10.797900807110196,150.0,38.27568816246563
9561,VT_812Y,10.22299347385575,150.0,37.61027588534155
9561,VT_814X,17.297019177668332,150.0,22.580604636286665
9561,VT_814Y,14.5325314857436,150.0,27.40294536401115
9562,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9562,VT_812X,10.797900807110196,150.0,38.27568816246563
9562,VT_812Y,10.22299347385575,150.0,37.61027588534155
9562,VT_814X,17.297019177668332,150.0,22.580604636286665
9562,VT_814Y,14.5325314857436,150.0,27.40294536401115
9563,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9563,VT_812X,10.797900807110196,150.0,38.27568816246563
9563,VT_812Y,10.22299347385575,150.0,37.61027588534155
9563,VT_814X,17.297019177668332,150.0,22.580604636286665
9563,VT_814Y,14.5325314857436,150.0,27.40294536401115
9564,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9564,VT_812X,10.797900807110196,150.0,38.27568816246563
9564,VT_812Y,10.22299347385575,150.0,37.61027588534155
9564,VT_814X,17.297019177668332,150.0,22.580604636286665
9564,VT_814Y,14.5325314857436,150.0,27.40294536401115
9565,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9565,VT_812X,10.797900807110196,150.0,38.27568816246563
9565,VT_812Y,10.22299347385575,150.0,37.61027588534155
9565,VT_814X,17.297019177668332,150.0,22.580604636286665
9565,VT_814Y,14.5325314857436,150.0,27.40294536401115
9566,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9566,VT_812X,10.797900807110196,150.0,38.27568816246563
9566,VT_812Y,10.22299347385575,150.0,37.61027588534155
9566,VT_814X,17.297019177668332,150.0,22.580604636286665
9566,VT_814Y,14.5325314857436,150.0,27.40294536401115
9567,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9567,VT_812X,10.797900807110196,150.0,38.27568816246563
9567,VT_812Y,10.22299347385575,150.0,37.61027588534155
9567,VT_814X,17.297019177668332,150.0,22.580604636286665
9567,VT_814Y,14.5325314857436,150.0,27.40294536401115
9568,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9568,VT_812X,10.797900807110196,150.0,38.27568816246563
9568,VT_812Y,10.22299347385575,150.0,37.61027588534155
9568,VT_814X,17.297019177668332,150.0,22.580604636286665
9568,VT_814Y,14.5325314857436,150.0,27.40294536401115
9569,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9569,VT_812X,10.797900807110196,150.0,38.27568816246563
9569,VT_812Y,10.22299347385575,150.0,37.61027588534155
9569,VT_814X,17.297019177668332,150.0,22.580604636286665
9569,VT_814Y,14.5325314857436,150.0,27.40294536401115
9570,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9570,VT_812X,10.797900807110196,150.0,38.27568816246563
9570,VT_812Y,10.22299347385575,150.0,37.61027588534155
9570,VT_814X,17.297019177668332,150.0,22.580604636286665
9570,VT_814Y,14.5325314857436,150.0,27.40294536401115
9571,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9571,VT_812X,10.797900807110196,150.0,38.27568816246563
9571,VT_812Y,10.22299347385575,150.0,37.61027588534155
9571,VT_814X,17.297019177668332,150.0,22.580604636286665
9571,VT_814Y,14.5325314857436,150.0,27.40294536401115
9572,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9572,VT_812X,10.797900807110196,150.0,38.27568816246563
9572,VT_812Y,10.22299347385575,150.0,37.61027588534155
9572,VT_814X,17.297019177668332,150.0,22.580604636286665
9572,VT_814Y,14.5325314857436,150.0,27.40294536401115
9573,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9573,VT_812X,10.797900807110196,150.0,38.27568816246563
9573,VT_812Y,10.22299347385575,150.0,37.61027588534155
9573,VT_814X,17.297019177668332,150.0,22.580604636286665
9573,VT_814Y,14.5325314857436,150.0,27.40294536401115
9574,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9574,VT_812X,10.797900807110196,150.0,38.27568816246563
9574,VT_812Y,10.22299347385575,150.0,37.61027588534155
9574,VT_814X,17.297019177668332,150.0,22.580604636286665
9574,VT_814Y,14.5325314857436,150.0,27.40294536401115
9575,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9575,VT_812X,10.797900807110196,150.0,38.27568816246563
9575,VT_812Y,10.22299347385575,150.0,37.61027588534155
9575,VT_814X,17.297019177668332,150.0,22.580604636286665
9575,VT_814Y,14.5325314857436,150.0,27.40294536401115
9576,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9576,VT_812X,10.797900807110196,150.0,38.27568816246563
9576,VT_812Y,10.22299347385575,150.0,37.61027588534155
9576,VT_814X,17.297019177668332,150.0,22.580604636286665
9576,VT_814Y,14.5325314857436,150.0,27.40294536401115
9577,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9577,VT_812X,10.797900807110196,150.0,38.27568816246563
9577,VT_812Y,10.22299347385575,150.0,37.61027588534155
9577,VT_814X,17.297019177668332,150.0,22.580604636286665
9577,VT_814Y,14.5325314857436,150.0,27.40294536401115
9578,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9578,VT_812X,10.797900807110196,150.0,38.27568816246563
9578,VT_812Y,10.22299347385575,150.0,37.61027588534155
9578,VT_814X,17.297019177668332,150.0,22.580604636286665
9578,VT_814Y,14.5325314857436,150.0,27.40294536401115
9579,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9579,VT_812X,10.797900807110196,150.0,38.27568816246563
9579,VT_812Y,10.22299347385575,150.0,37.61027588534155
9579,VT_814X,17.297019177668332,150.0,22.580604636286665
9579,VT_814Y,14.5325314857436,150.0,27.40294536401115
9580,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9580,VT_812X,10.797900807110196,150.0,38.27568816246563
9580,VT_812Y,10.22299347385575,150.0,37.61027588534155
9580,VT_814X,17.297019177668332,150.0,22.580604636286665
9580,VT_814Y,14.5325314857436,150.0,27.40294536401115
9581,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9581,VT_812X,10.797900807110196,150.0,38.27568816246563
9581,VT_812Y,10.22299347385575,150.0,37.61027588534155
9581,VT_814X,17.297019177668332,150.0,22.580604636286665
9581,VT_814Y,14.5325314857436,150.0,27.40294536401115
9582,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9582,VT_812X,10.797900807110196,150.0,38.27568816246563
